time,ad,count,nfr
8/16/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,5115501,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/16/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,11424,SITE_AD_DOMAIN
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,54,AD_INV_SRC_TYPE
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,99657,BIDDER_FLOOR_UNMET
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1947160,CAMPAIGN_DATE_BUDGET
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1286040,DEVICE_TYPE
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,28893,FILL
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4156189,LOST_TO_COMPETITION
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,3991731,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,41174,SITE_AD_DOMAIN
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,54,AD_INV_SRC_TYPE
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,99657,BIDDER_FLOOR_UNMET
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1947160,CAMPAIGN_DATE_BUDGET
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1286040,DEVICE_TYPE
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,29044,FILL
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,4156038,LOST_TO_COMPETITION
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,3991731,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/17/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,41174,SITE_AD_DOMAIN
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,34,AD_INV_SRC_TYPE
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,21308,BIDDER_FLOOR_UNMET
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,4208103,CAMPAIGN_DATE_BUDGET
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,989292,DEVICE_TYPE
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,427185,FILL
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,2264710,LOST_TO_COMPETITION
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,3601600,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,38666,SITE_AD_DOMAIN
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,34,AD_INV_SRC_TYPE
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,21308,BIDDER_FLOOR_UNMET
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,4208103,CAMPAIGN_DATE_BUDGET
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,989292,DEVICE_TYPE
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,427606,FILL
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,2264289,LOST_TO_COMPETITION
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,3601600,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/17/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,38666,SITE_AD_DOMAIN
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,442,AD_INV_SRC_TYPE
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4,BIDDER_FLOOR_UNMET
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1703137,CAMPAIGN_DATE_BUDGET
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,20809,CAMPAIGN_NOT_FOUND
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4,CREATIVE_FORMAT_ERROR
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,29094571,DEVICE_TYPE
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1712780,LOST_TO_COMPETITION
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,5828115,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,13874,SITE_AD_DOMAIN
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,442,AD_INV_SRC_TYPE
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,4,BIDDER_FLOOR_UNMET
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1703137,CAMPAIGN_DATE_BUDGET
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,20809,CAMPAIGN_NOT_FOUND
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,4,CREATIVE_FORMAT_ERROR
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,29094571,DEVICE_TYPE
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1712780,LOST_TO_COMPETITION
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,5828115,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/18/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,13874,SITE_AD_DOMAIN
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,442,AD_INV_SRC_TYPE
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,5,BIDDER_FLOOR_UNMET
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1717984,CAMPAIGN_DATE_BUDGET
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,21295,CAMPAIGN_NOT_FOUND
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,4,CREATIVE_FORMAT_ERROR
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,29093572,DEVICE_TYPE
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,251569,FILL
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1447505,LOST_TO_COMPETITION
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,5827584,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,13776,SITE_AD_DOMAIN
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,442,AD_INV_SRC_TYPE
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,5,BIDDER_FLOOR_UNMET
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1717984,CAMPAIGN_DATE_BUDGET
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,21295,CAMPAIGN_NOT_FOUND
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,4,CREATIVE_FORMAT_ERROR
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,29093572,DEVICE_TYPE
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,256941,FILL
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1442133,LOST_TO_COMPETITION
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,5827584,NO_ADS_COUNTRY_CARRIER_OS_BRAND
